region,institution,status,effective_date,change_note
수도권,덕성여자대학교,final_2026,2026-07-14,
수도권,동국대학교,final_2026,2026-07-14,
수도권,서울여자대학교,final_2026,2026-07-14,
수도권,세종대학교,final_2026,2026-07-14,
수도권,용인대학교,final_2026,2026-07-14,
수도권,한국외국어대학교,final_2026,2026-07-14,
비수도권,건국대학교(GLOCAL),final_2026,2026-07-14,
비수도권,경운대학교,final_2026,2026-07-14,
비수도권,국립경국대학교,final_2026,2026-07-14,
비수도권,국립한밭대학교,final_2026,2026-07-14,
비수도권,동국대학교(WISE),final_2026,2026-07-14,
비수도권,동명대학교,final_2026,2026-07-14,
비수도권,동서대학교,final_2026,2026-07-14,4월 선정평가 결과의 순천향대에서 최종 명단의 동서대로 변경
비수도권,동신대학교,final_2026,2026-07-14,
비수도권,동의대학교,final_2026,2026-07-14,
비수도권,부산외국어대학교,final_2026,2026-07-14,
비수도권,송원대학교,final_2026,2026-07-14,
비수도권,전주대학교,final_2026,2026-07-14,
비수도권,창신대학교,final_2026,2026-07-14,
비수도권,한라대학교,final_2026,2026-07-14,
