id,institution,source_group,topic,title,evidence_date,year,fact,why,url,evidence_type,importance,verification_status,evidence_class,source_authority,authority_score,implementation_evidence,confidence_score,confidence_label,status,ingested_at
E0110,창신대학교,국내 대학,Faculty & Workforce,전 교원 AI 역량 진단평가 및 맞춤형 연수 연계,2026-08-24,2026,창신대 AI창의융합교육연구원은 전임·비전임 교원과 강사를 대상으로 AI 기초이해·윤리·학술데이터분석·수업활용 역량을 사전·사후 진단하고 결과를 맞춤형 AI 교육 프로그램 지원에 활용하는 평가를 운영합니다.,교수자 AI 역량을 단순 연수 이수자가 아니라 진단→맞춤교육→사후평가 구조로 관리하는 실제 운영 근거입니다.,https://www.cs.ac.kr/post/14311?category_id=3,대학 공식 역량진단 운영,핵심,verified,official-primary,C,1,1,75,MEDIUM,active,2026-08-27 01:47:09
E0086,한국대학교육협의회,국내 정책·지원기관,Institutional Transformation,2026 KCUE 대학총장 설문(Ⅱ): AX 시대의 고등교육,2026-08-20,2026,대학 총장 144명을 대상으로 AX 시대 고등교육의 준비와 재정 여건을 조사해 대학의 AI 전환이 공통 과제로 부상했지만 기관별 준비 수준과 투자 여건에 차이가 있음을 다룹니다.,개별 대학 사례가 아니라 국내 대학 리더십 차원에서 AI 전환 준비도를 보는 sector-wide 근거입니다.,https://www.kcue.or.kr/academic/usr/wap/detail.do?app=15451&seq=9226997,고등교육 리더십 조사,핵심,verified,official-primary,A,3,0,100,HIGH,active,2026-08-27 01:47:09
E0115,덕성여자대학교,국내 대학,Institutional Transformation,생성형 AI 플랫폼 AIMy(에이미) 전 구성원 시범 운영,2026-08-20,2026,덕성여대는 대학혁신지원사업 및 AI 기본교육과정 개발 지원사업을 통해 생성형 AI 플랫폼 AIMy를 구축하고 2026년 8월 20일부터 구성원 대상 시범 운영을 시작했습니다. 포털 계정으로 GPT·Claude·Gemini 등 복수 모델을 활용할 수 있도록 구성했습니다.,전담조직·교과개발 단계에서 실제 대학 구성원이 사용하는 공용 AI 인프라 운영 단계로 진전된 기관 implementation 근거입니다.,https://www.duksung.ac.kr/fan/bbs/boardView.do?bIdx=922748&bsIdx=1292&menuId=1414,대학 공식 서비스 운영,핵심,verified,official-primary,C,1,1,75,MEDIUM,active,2026-08-27 01:47:09
E0076,EDUCAUSE Review,고등교육 리딩기관,AI in Assessment,Seeing Learning Differently: What Generative AI Reveals About Human Capability Development,2026-08-17,2026,생성형 AI 시대에는 학생이 제출한 최종 산출물만 보는 것보다 학습과정에서 인간의 역량이 어떻게 발달하는지를 보여주는 더 풍부한 학습 증거가 중요하다는 관점을 제시합니다.,평가 재설계 신호를 결과물 중심에서 과정·역량 증거 중심으로 확장하는 최신 고등교육 논의입니다.,https://er.educause.edu/articles/2026/8/seeing-learning-differently-what-generative-ai-reveals-about-human-capability-development,섹터 분석,참고,verified,official-primary,B,2,0,93,HIGH,active,2026-08-27 01:47:09
E0039,서울대학교,국내 대학,AI-Enabled Teaching,AI Summer Camp: 프로젝트 기반 생성형 AI 교육,2026-08-14,2026,서울대와 OpenAI가 공동으로 교육·멘토링·프로토타입 제작을 연계한 프로젝트 기반 AI 교육 프로그램을 운영했습니다.,AI 교육이 단순 활용법 교육에서 실제 문제해결과 서비스 구현 중심 PBL로 이동하는 국내 사례입니다.,https://www.snu.ac.kr/snunow/press?bbsidx=174020&md=v,교육 프로그램,참고,verified,official-primary,C,1,1,85,HIGH,active,2026-08-27 01:47:09
E0066,UNSW Sydney,해외 대학,AI in Assessment,From permissions to purpose: a program level approach to assessment in an AI-integrated university,2026-08-12,2026,생성형 AI 대응을 과제별 허용·금지 분류에 머물지 않고 프로그램 수준의 평가 목적과 설계 문제로 전환해야 한다는 접근을 제시합니다.,AI 시대 평가 대응이 permission model에서 program-level assessment redesign으로 이동하는 최신 대학 사례입니다.,https://www.education.unsw.edu.au/news-events/news/permissions-purpose-program-level-approach-assessment-ai-integrated-university,대학 평가전략,핵심,verified,official-primary,C,1,1,85,HIGH,active,2026-08-27 01:47:09
E0096,세종대학교,국내 대학,Institutional Transformation,AI 기본교육과정 참여 및 대학 간 협력 추진,2026-08-11,2026,세종대는 사업 출범식 참여와 함께 참여대학 간 AI 교육혁신 협력에 참여하고 성공적인 모델 구축 의지를 공식화했습니다.,기관 내부 교육과정 개발이 sector-level 협력·확산 단계와 연결되는 보조 implementation 근거입니다.,https://www.sejong.ac.kr/news/today/sejong-prism.do?articleNo=891567&mode=view,대학 공식 구현·협력,참고,verified,official-primary,C,1,1,75,MEDIUM,active,2026-08-27 01:47:09
E0108,동명대학교,국내 대학,Institutional Transformation,AI융합교육연구센터 기반 AI 기본교육과정 사업 운영·성과관리,2026-08-10,2026,"동명대 교육혁신원 AI융합교육연구센터는 AI 기본교육과정 개발·연구, 지원사업 운영·성과관리 업무를 담당하는 전담 연구인력 채용을 진행했습니다.",사업 선정만이 아니라 전담센터와 개발·연구·성과관리 기능이 확인되는 L2 실행구조 근거입니다.,https://dm.tu.ac.kr/tuhome/sub07_01_07.do?articleNo=408923&mode=view,대학 공식 운영근거,핵심,verified,official-primary,C,1,1,75,MEDIUM,active,2026-08-27 01:47:09
E0107,동신대학교,국내 대학,Faculty & Workforce,계열별 맞춤형 AI 교수역량 교육 실제 운영,2026-08-06,2026,"동신대 교수학습센터는 대학 AI 기본교육과정 개발 지원사업과 연계해 생성형 AI 활용, 교수설계, 평가를 포함한 계열별 맞춤형 교수자 AI 교육을 실제 운영했습니다.",계획을 넘어 교수자 대상 프로그램의 실제 운영이 확인돼 L2 구현근거를 강화합니다.,https://www.dsu.ac.kr/kr/index.php?idx=27519&mode=view&pCode=news,대학 공식 교육운영,핵심,verified,official-primary,C,1,1,75,MEDIUM,active,2026-08-27 01:47:09
E0067,University of Queensland,해외 대학,AI in Assessment,Rules for using AI in assessment — Secure and Open classification,2026-08 implementation,2026,2026년 2학기부터 평가를 Secure와 Open으로 구분하는 course-profile 분류를 적용해 AI 사용 가능 여부와 학습성과 증거의 성격을 더 일관되게 안내합니다.,AI 사용조건을 실제 course profile과 assessment classification에 제도적으로 반영하는 구현 사례입니다.,https://itali.uq.edu.au/teaching-guidance/generative-ai-teaching-learning-and-assessment/rules-using-ai-assessment,대학 평가정책,핵심,verified,official-primary,C,1,1,85,HIGH,active,2026-08-27 01:47:09
