record_id,institution,group,topic,title,date,year,fact,why,url,type,importance,verification_status,source_authority,evidence_class
E0001,한국대학교육협의회 (KCUE),국내 정책·지원기관,AI Policy & Governance,대학 AI 활용 윤리 가이드라인,2026-08-24,2026,대학의 효과적인 AI 활용을 지원하기 위한 공식 윤리 가이드라인이 공개되었습니다.,대학 차원의 AI 활용 원칙과 제도 정비 방향을 확인할 수 있습니다.,https://www.kcue.or.kr/notice/sub06.php?at=view&idx=658867,가이드라인,핵심,verified,B,official-primary
E0002,한국대학교육협의회 (KCUE),국내 정책·지원기관,AI Collaboration & Ecosystem,AI 교육혁신 초광역 대학 간 공유·협력 모델 연구,2026-07-15,2026,권역을 넘어 전국 단위 대학 간 AI 교육 공유·협력 모델과 실행 방안을 연구합니다.,개별 대학을 넘어 대학 간 공동 AI 교육체계가 어떻게 논의되는지 볼 수 있습니다.,https://www.kcue.or.kr/news/sub05/sub01.php?at=view&idx=658774,정책연구,핵심,verified,B,official-primary
E0003,한국대학교육협의회 (KCUE),국내 정책·지원기관,AI Curriculum & Competencies,2026 대학 AI 기본교육과정 개발 지원사업 출범,2026-07-15,2026,"20개 참여대학이 AI 기본교육과정, 교수자 AI 역량 강화, 성과 확산 계획을 추진합니다.",국내 대학의 보편적 AI 교육이 실제 사업으로 어떻게 확산되는지 보여줍니다.,https://www.kcue.or.kr/news/sub05/sub01.php?at=view&idx=658751,정책사업,핵심,verified,B,official-primary
E0004,OECD,국제·정책기관,AI Policy & Governance,Policies supporting responsible and systematic GenAI adoption in higher education,2026-07-17,2026,고등교육의 책임 있고 체계적인 GenAI 도입을 위한 시스템 차원의 정책 대응을 다섯 영역으로 정리합니다.,대학 단위 대응을 넘어 국가·고등교육 시스템 차원의 AI 정책 방향을 비교할 수 있습니다.,https://www.oecd.org/en/publications/policies-supporting-responsible-and-systematic-genai-adoption-in-higher-education_c4e5621f-en.html,정책보고서,핵심,verified,A,official-primary
E0005,한국대학교육협의회 (KCUE),국내 정책·지원기관,AI Curriculum & Competencies,대학 AI 기본교육과정 개발 지원사업 20개교 선정,2026-04-23,2026,전공과 관계없이 모든 대학생의 보편적 AI 역량 함양을 목표로 20개 대학이 선정되었습니다.,국내 대학 AI 기초교육의 정책적 규모와 선정 기준을 확인할 수 있습니다.,https://www.kcue.or.kr/news/sub03/sub01.php?at=view&idx=2765089,정책사업,핵심,verified,B,official-primary
E0006,OECD,국제·정책기관,Future & Foresight,OECD Digital Education Outlook 2026,2026-01-19,2026,생성형 AI의 교육적 활용을 교수학습 설계와 가드레일 관점에서 다룹니다.,대학의 AI 도입을 도구가 아니라 교육전략 차원에서 보는 근거가 됩니다.,https://www.oecd.org/en/publications/oecd-digital-education-outlook-2026_062a7394-en.html,연구보고서,핵심,verified,A,official-primary
E0007,한국대학교육협의회 (KCUE),국내 정책·지원기관,AI Curriculum & Competencies,2026 대학 AI 기본교육과정 개발 지원사업 시안 공개,2025-12-19,2025,AI 윤리·활용 리터러시와 학문분야별 AX 융합강좌 개발을 포함하는 사업 방향이 제시되었습니다.,2026년 국내 대학 AI 기본교육정책이 어떤 구상에서 출발했는지 볼 수 있습니다.,https://www.kcue.or.kr/_upload/news/2025/12/19/application_5ed250daf14ec3b044349a63a50c58f3.pdf,정책자료,참고,verified,B,official-primary
E0008,한국대학교육협의회 (KCUE),국내 정책·지원기관,Faculty Development,AI·에듀테크 교수법 프로그램 확대 운영,2025-06-12,2025,"AI 기반 수업설계, 디지털 도구, 통계·분석 도구, 학생 참여 중심 수업을 포함한 교수자 연수를 확대했습니다.",AI 교육혁신에서 교수자 역량개발이 실제로 어떤 형태로 지원되는지 보여줍니다.,https://www.kcue.or.kr/news/sub02/sub01.php?at=view&idx=2764687&pagenumber=1,교수역량,참고,verified,B,official-primary
E0009,University of Sydney,해외 대학,AI in Assessment,AI Assessment Policy,2024-11-27,2024,secure assessment와 open assessment를 구분하는 two-lane approach를 공식 발표했습니다.,AI 사용을 단순 금지하지 않고 평가 유형을 재설계한 실제 대학 사례입니다.,https://www.sydney.edu.au/news-opinion/news/2024/11/27/university-of-sydney-ai-assessment-policy.html,대학 사례,핵심,verified,C,official-primary
E0010,UNESCO,국제·정책기관,AI Curriculum & Competencies,AI Competency Framework for Students,2024,2024,"학생 AI 역량을 인간중심, 윤리, AI 기초, 기술, 문제해결 관점에서 구조화합니다.",AI 리터러시 및 교육과정 설계의 국제 기준으로 참고하기 좋습니다.,https://unesdoc.unesco.org/ark:/48223/pf0000391105,프레임워크,핵심,verified,A,official-primary
E0011,QAA,고등교육 리딩기관,AI in Assessment,Quality Compass: AI in Higher Education,2024-02,2024,생성형 AI 시대의 학습·교수·평가·학업 관행 변화를 다룹니다.,평가 재설계와 학업윤리를 함께 검토할 때 유용한 섹터 자료입니다.,https://www.qaa.ac.uk/docs/qaa/news/quality-compass-navigating-the-complexities-of-the-artificial-intelligence-era-in-higher-education.pdf,섹터 가이드,핵심,verified,A,official-primary
E0012,가천대학교,국내 대학,AI Curriculum & Competencies,전교생 AI 기초교육,2024~,2024,전교생 AI 기초교육을 운영하고 AX융합교육과 연계합니다.,국내 대학의 AI 리터러시 교육체계를 볼 수 있는 실제 사례입니다.,https://ai.gachon.ac.kr/68,대학 사례,핵심,verified,C,official-primary
E0013,KERIS,국내 정책·지원기관,AI Policy & Governance,교육기관의 생성형 AI 활용 저작권 가이드라인,2024,2024,"AI 생성물의 저작권 원칙, 수업 활용 사례와 FAQ를 제공합니다.",교수·학생 대상 AI 활용 가이드 설계 시 바로 참고할 수 있습니다.,https://copyright.keris.or.kr/wft/viewBbsctt?pstId=PST202502260000000000001&type=books,가이드라인,핵심,verified,B,official-primary
E0014,UNESCO,국제·정책기관,AI Policy & Governance,Guidance for Generative AI in Education and Research,2023-09-07,2023,생성형 AI를 교육과 연구에 인간중심적으로 도입하기 위한 글로벌 가이드를 제시합니다.,최근 대학 AI 정책 논의의 출발점 중 하나로 과거 흐름을 이해하는 데 중요합니다.,https://www.unesco.org/en/articles/guidance-generative-ai-education-and-research?hub=66977,글로벌 가이드,핵심,verified,A,official-primary
E0015,EDUCAUSE,고등교육 리딩기관,Future & Foresight,2026 EDUCAUSE Horizon Report | Teaching and Learning Edition,2026-05,2026,"향후 10년 고등교육 교수·학습에 영향을 줄 주요 트렌드와 초기 변화 신호를 정리하며, AI가 평가·교수설계·학생지원·교수-학생 관계를 재편하고 있다고 봅니다.",개별 AI 사례보다 고등교육 전체의 중장기 변화 방향을 파악하는 데 유용합니다.,https://library.educause.edu/resources/2026/5/2026-educause-horizon-report-teaching-and-learning-edition,전망보고서,핵심,verified,B,official-primary
E0016,EDUCAUSE,고등교육 리딩기관,AI in Assessment,The Impact of AI on Learning Assessment,2026-06-01,2026,"학습평가를 실제 설계·운영하는 교수·직원 438명의 응답을 바탕으로 AI 시대의 평가설계, 정책, 학업윤리와 AI literacy를 분석합니다.",평가 논의를 의견이 아니라 실제 현장 응답과 제도 변화로 볼 수 있습니다.,https://library.educause.edu/resources/2026/6/2026-educause-the-impact-of-ai-on-learning-assessment-report,연구보고서,핵심,verified,B,official-primary
E0017,EDUCAUSE,고등교육 리딩기관,Institutional Transformation,The Current State of Play: AI in Higher Education and the Road Ahead,2026-06-16,2026,"AI가 평가와 교육과정뿐 아니라 데이터 기반, 거버넌스, 대학 전략과 조직 목적까지 재검토하게 만들고 있다고 분석합니다.",AI를 수업 도구가 아니라 대학 전체의 전략 변화로 보는 관점을 제공합니다.,https://er.educause.edu/articles/2026/6/the-current-state-of-play-ai-in-higher-education-and-the-road-ahead,섹터 분석,핵심,verified,B,official-primary
E0018,EDUCAUSE,고등교육 리딩기관,Institutional Transformation,Reshaping Higher Education IT in the Age of AI,2026-08-04,2026,"AI 시대의 대학 IT 역할을 기술 제공에서 데이터·AI 거버넌스, institutional intelligence, AI enablement, workforce transformation으로 확장해 설명합니다.",AI가 행정과 조직 운영까지 어떻게 확장되는지 보여주는 최신 고등교육 신호입니다.,https://er.educause.edu/articles/2026/8/reshaping-higher-education-it-in-the-age-of-ai-enabling-institutional-transformation,섹터 분석,핵심,verified,B,official-primary
E0019,EDUCAUSE,고등교육 리딩기관,Faculty & Workforce,2026 EDUCAUSE Workforce Report,2026-06-08,2026,"AI와 외부 압력이 대학의 전략, 팀 역할, 업무량과 필요한 역량을 어떻게 바꾸는지 조사합니다.",AI 도입을 교수·학생뿐 아니라 대학 직원과 조직 역량 관점에서도 추적할 수 있습니다.,https://library.educause.edu/resources/2026/6/2026-educause-workforce-report-how-teams-are-adapting-to-ai-external-pressures-and-strategic-change,연구보고서,참고,verified,B,official-primary
E0020,Jisc,고등교육 리딩기관,AI in Assessment,Trends in assessment in higher education: considerations for policy and practice,2025-01-23 / 2025-11-27 update,2025,"프로그램 수준 평가설계, 디지털 평가, 생성형 AI 대응, authentic·process-focused assessment와 학생 공동설계를 주요 변화로 정리합니다.",AI 시대 평가가 어떤 방식으로 재설계되고 있는지 구체적인 정책·실무 항목으로 볼 수 있습니다.,https://www.jisc.ac.uk/reports/trends-in-assessment-in-higher-education-considerations-for-policy-and-practice,섹터 보고서,핵심,verified,B,official-primary
E0021,Jisc,고등교육 리딩기관,AI in Assessment,AI in marking and feedback pilots: initial findings,2026-05-21,2026,영국 38개 대학·칼리지 참여 파일럿을 통해 AI 기반 채점·피드백 도구의 기회와 주의점을 탐색합니다.,AI 평가 활용이 실제 대학 파일럿 단계에서 어떻게 검증되고 있는지 추적할 수 있습니다.,https://www.jisc.ac.uk/news/all/new-findings-highlight-the-benefits-of-a-collaborative-approach-to-ai-in-assessment,파일럿 결과,참고,verified,B,official-primary
E0022,Jisc,고등교육 리딩기관,Institutional Transformation,Digital maturity assessment for UK higher education,2026-05-07,2026,"AI, 레거시 기술, 교수학습 변화와 학생 요구를 포함해 대학의 조직적 디지털 역량을 진단하고 벤치마킹하는 체계를 제시합니다.",대학이 AI를 포함한 디지털 전환 준비도를 조직 수준에서 어떻게 진단하는지 보여줍니다.,https://www.jisc.ac.uk/news/all/launching-our-digital-maturity-assessment-to-support-transformation-across-uk-higher-education,성숙도 프레임워크,참고,verified,B,official-primary
E0023,UCLA,해외 대학,Student AI Use & Literacy,Generative AI Use & Perspectives from the Class of 2025,2025-12,2025,"UCLA 졸업생 조사에서 응답자의 73%가 학업에 GenAI를 사용했다고 답했고, 주된 활용은 주제 조사·브레인스토밍·시험공부였습니다.",AI 정책을 설계할 때 실제 학생 사용행태와 인식을 함께 봐야 한다는 근거가 됩니다.,https://teaching.ucla.edu/news/ucla-student-ai-use-perspectives/,학생조사,핵심,verified,C,official-primary
E0024,UCLA,해외 대학,Institutional Transformation,AI in Teaching and Learning: UCLA TLC Principles,2026,2026,"UCLA Teaching & Learning Center는 AI 대응 원칙을 equitable access, student literacy, faculty support, assessment integrity, faculty-driven innovation, research-driven adoption으로 구성합니다.",대학 차원의 AI 교수학습 전략이 어떤 축으로 구조화되는지 보여주는 실제 사례입니다.,https://teaching.ucla.edu/special-initiatives/generative-ai-in-teaching-learning/,대학 전략,핵심,verified,C,official-primary
E0025,Cornell University,해외 대학,AI in Assessment,AI in Assignment Design,2026 current,2026,"Cornell은 AI를 과제에 넣기 전에 무엇을 평가하려는지와 학습성과의 정렬을 먼저 재검토하고, authentic application·reflection·투명한 평가기준을 설계하도록 안내합니다.",AI 허용수준보다 먼저 평가목표와 과제설계를 점검하는 구체적인 교수설계 사례입니다.,https://teaching.cornell.edu/generative-artificial-intelligence/ai-assignment-design,교수설계 가이드,핵심,verified,C,official-primary
E0026,Cornell University,해외 대학,AI Policy & Governance,Generative AI for Education and Pedagogy Committee Report,2023~,2023,"Cornell 위원회는 교수자가 과제별 AI 허용 여부를 명확히 정하고, 자동 AI 탐지 도구를 학업윤리 위반의 결정적 증거로 사용하는 것을 권하지 않는 등의 권고를 제시합니다.",초기 생성형 AI 대응에서 대학 정책·학업윤리·평가가 어떻게 함께 논의됐는지 비교할 수 있습니다.,https://teaching.cornell.edu/generative-artificial-intelligence/cu-committee-report-generative-artificial-intelligence-education,위원회 보고서,핵심,verified,C,official-primary
E0027,UNESCO,국제·정책기관,Faculty & Workforce,AI Competency Framework for Teachers,2024-08-08,2024,"교사의 AI 역량을 인간중심, 윤리, AI 기초·응용, AI pedagogy, 전문학습의 5개 차원과 Acquire·Deepen·Create의 3단계로 구조화합니다.",교수자 AI 역량개발을 단순 도구교육이 아니라 단계적 역량체계로 설계할 때 참고할 수 있습니다.,https://www.unesco.org/en/articles/ai-competency-framework-teachers?hub=195885,프레임워크,핵심,verified,A,official-primary
E0028,UNESCO IESALC,고등교육 리딩기관,AI Curriculum & Competencies,The challenges of AI in higher education and institutional responses: Is there room for competency frameworks?,2025-08-06,2025,"16개 고등교육기관의 AI 관련 이니셔티브를 포함해 고등교육의 AI 통합 현황을 검토하고, 고등교육 맥락에 맞는 포괄적 AI competency framework의 필요성을 제기합니다.",학교교육용 AI 역량 프레임워크를 넘어 대학 수준의 역량체계가 별도로 필요한지 판단하는 근거가 됩니다.,https://www.iesalc.unesco.org/en/articles/challenges-ai-higher-education-and-imperative-competency-frameworks,고등교육 연구,핵심,verified,B,official-primary
E0029,EDUCAUSE,고등교육 리딩기관,Student Experience & Success,2026 Students and Technology Report: Steady through Change,2026-03-23,2026,"학생 관점에서 생성형 AI, 수업경험, 직업준비, 학생지원과 기술 요구를 조사해 대학 전략과 학생경험의 연결을 다룹니다.",AI 도입의 성과를 기술 자체가 아니라 학생경험·지원·진로준비 관점에서도 추적할 수 있습니다.,https://library.educause.edu/resources/2026/3/2026-educause-students-and-technology-report-steady-through-change,학생경험 연구,핵심,verified,B,official-primary
E0030,EDUCAUSE,고등교육 리딩기관,Faculty & Workforce,The Impact of AI on Work in Higher Education,2026,2026,"AIR, NACUBO, CUPA-HR와 함께 대학 업무에서의 AI 전략·정책·위험·기회와 교수·직원의 실제 사용을 분석합니다.",AI가 교수학습뿐 아니라 대학 행정과 전문직 업무를 어떻게 바꾸는지 근거 기반으로 볼 수 있습니다.,https://www.educause.edu/research/2026/the-impact-of-ai-on-work-in-higher-education,업무 영향 연구,핵심,verified,B,official-primary
E0031,Jisc,고등교육 리딩기관,Institutional Transformation,Shared baseline for digital maturity across higher education,2026-05,2026,"대학의 디지털·AI 역량, 인프라, 데이터·지식관리, 교육·연구·학생경험, 파트너십 등을 5단계 성숙도로 진단하는 공통 기준을 구축합니다.",AI 전환을 단일 프로젝트가 아니라 대학 전체의 조직 성숙도 관점에서 평가하는 사례입니다.,https://www.jisc.ac.uk/innovation/projects/building-a-shared-baseline-for-digital-maturity-across-higher-education,성숙도 모델,핵심,verified,B,official-primary
E0032,Stanford University,해외 대학,AI in Assessment,Responsible Assessment in the AI Era,2026-07-23,2026,"Stanford Accelerator for Learning과 ETS는 최종 산출물 중심 평가가 학습을 충분히 포착하지 못할 수 있으며, 포트폴리오·형성적 피드백·대화형 평가·authentic performance task 등 더 연속적이고 풍부한 학습근거가 필요하다고 제안합니다.",평가 재설계 신호를 대학·시험기관·정책 리더가 함께 공식화한 최신 사례입니다.,https://news.stanford.edu/stories/2026/07/white-paper-responsible-student-assessments-in-the-ai-era,대학 연구·정책,핵심,verified,C,official-primary
E0033,Stanford University,해외 대학,AI in Assessment,Integrating AI into Assignments,2026 current,2026,"Stanford Teaching Commons는 AI를 과제에 통합할 때 허용조건, 학습목표, 학생 관점과 pedagogic rationale을 명확히 하도록 안내합니다.",대학 차원의 AI 평가 원칙이 실제 과제설계 단계로 어떻게 내려오는지 보여줍니다.,https://teachingcommons.stanford.edu/teaching-guides/artificial-intelligence-teaching-guide/integrating-ai-assignments,교수설계 가이드,핵심,verified,C,official-primary
E0034,Stanford University,해외 대학,AI Policy & Governance,Academic Integrity Working Group: GenAI and Exam Policies,2025-10-31,2025,"Stanford는 학업윤리 워킹그룹과 다년간의 proctoring pilot을 운영하며, 생성형 AI와 시험 운영에 대한 교수자 가이드를 캠퍼스 단위로 발전시키고 있습니다.",AI 정책이 단순 문서가 아니라 실제 시험운영 파일럿과 부서별 적용으로 이어지는 사례입니다.,https://news.stanford.edu/stories/2025/10/academic-integrity-working-group-generative-ai-exam-policies,대학 운영사례,참고,verified,C,official-primary
